id,name,bic,description
__export__.res_bank_2,BANAMEX,002,"Banco Nacional de México, S.A., Institución de Banca Múltiple, Grupo Financiero Banamex"
__export__.res_bank_6,BANCOMEXT,006,"Banco Nacional de Comercio Exterior, Sociedad Nacional de Crédito, Institución de Banca de Desarrollo"
__export__.res_bank_9,BANOBRAS,009,"Banco Nacional de Obras y Servicios Públicos, Sociedad Nacional de Crédito, Institución de Banca de Desarrollo"
__export__.res_bank_12,BBVA BANCOMER,012,"BBVA Bancomer, S.A., Institución de Banca Múltiple, Grupo Financiero BBVA Bancomer"
__export__.res_bank_14,SANTANDER,014,"Banco Santander (México), S.A., Institución de Banca Múltiple, Grupo Financiero Santander"
__export__.res_bank_19,BANJERCITO,019,"Banco Nacional del Ejército, Fuerza Aérea y Armada, Sociedad Nacional de Crédito, Institución de Banca de Desarrollo"
__export__.res_bank_21,HSBC,021,"HSBC México, S.A., institución De Banca Múltiple, Grupo Financiero HSBC"
__export__.res_bank_30,BAJIO,030,"Banco del Bajío, S.A., Institución de Banca Múltiple"
__export__.res_bank_32,IXE,032,"IXE Banco, S.A., Institución de Banca Múltiple, IXE Grupo Financiero"
__export__.res_bank_36,INBURSA,036,"Banco Inbursa, S.A., Institución de Banca Múltiple, Grupo Financiero Inbursa"
__export__.res_bank_37,INTERACCIONES,037,"Banco Interacciones, S.A., Institución de Banca Múltiple"
__export__.res_bank_42,MIFEL,042,"Banca Mifel, S.A., Institución de Banca Múltiple, Grupo Financiero Mifel"
__export__.res_bank_44,SCOTIABANK,044,"Scotiabank Inverlat, S.A."
__export__.res_bank_58,BANREGIO,058,"Banco Regional de Monterrey, S.A., Institución de Banca Múltiple, Banregio Grupo Financiero"
__export__.res_bank_59,INVEX,059,"Banco Invex, S.A., Institución de Banca Múltiple, Invex Grupo Financiero"
__export__.res_bank_60,BANSI,060,"Bansi, S.A., Institución de Banca Múltiple"
__export__.res_bank_62,AFIRME,062,"Banca Afirme, S.A., Institución de Banca Múltiple"
__export__.res_bank_72,BANORTE,072,"Banco Mercantil del Norte, S.A., Institución de Banca Múltiple, Grupo Financiero Banorte"
__export__.res_bank_102,THE ROYAL BANK,102,"The Royal Bank of Scotland México, S.A., Institución de Banca Múltiple"
__export__.res_bank_103,AMERICAN EXPRESS,103,"American Express Bank (México), S.A., Institución de Banca Múltiple"
__export__.res_bank_106,BAMSA,106,"Bank of America México, S.A., Institución de Banca Múltiple, Grupo Financiero Bank of America"
__export__.res_bank_108,TOKYO,108,"Bank of Tokyo-Mitsubishi UFJ (México), S.A."
__export__.res_bank_110,JP MORGAN,110,"Banco J.P. Morgan, S.A., Institución de Banca Múltiple, J.P. Morgan Grupo Financiero"
__export__.res_bank_112,BMONEX,112,"Banco Monex, S.A., Institución de Banca Múltiple"
__export__.res_bank_113,VE POR MAS,113,"Banco Ve Por Mas, S.A. Institución de Banca Múltiple"
__export__.res_bank_116,ING,116,"ING Bank (México), S.A., Institución de Banca Múltiple, ING Grupo Financiero"
__export__.res_bank_124,DEUTSCHE,124,"Deutsche Bank México, S.A., Institución de Banca Múltiple"
__export__.res_bank_126,CREDIT SUISSE,126,"Banco Credit Suisse (México), S.A. Institución de Banca Múltiple, Grupo Financiero Credit Suisse (México)"
__export__.res_bank_127,AZTECA,127,"Banco Azteca, S.A. Institución de Banca Múltiple."
__export__.res_bank_128,AUTOFIN,128,"Banco Autofin México, S.A. Institución de Banca Múltiple"
__export__.res_bank_129,BARCLAYS,129,"Barclays Bank México, S.A., Institución de Banca Múltiple, Grupo Financiero Barclays México"
__export__.res_bank_130,COMPARTAMOS,130,"Banco Compartamos, S.A., Institución de Banca Múltiple"
__export__.res_bank_131,BANCO FAMSA,131,"Banco Ahorro Famsa, S.A., Institución de Banca Múltiple"
__export__.res_bank_132,BMULTIVA,132,"Banco Multiva, S.A., Institución de Banca Múltiple, Multivalores Grupo Financiero"
__export__.res_bank_133,ACTINVER,133,"Banco Actinver, S.A. Institución de Banca Múltiple, Grupo Financiero Actinver"
__export__.res_bank_134,WAL-MART,134,"Banco Wal-Mart de México Adelante, S.A., Institución de Banca Múltiple"
__export__.res_bank_135,NAFIN,135,"Nacional Financiera, Sociedad Nacional de Crédito, Institución de Banca de Desarrollo"
