id,clave_sat,state_id/id,name
__export__.res_country_state_ciudad_01AGU,01,AGU,Aguascalientes
__export__.res_country_state_ciudad_01BCN,01,BCN,Ensenada
__export__.res_country_state_ciudad_01BCS,01,BCS,Ciudad Constitución
__export__.res_country_state_ciudad_01CAM,01,CAM,San Francisco de Campeche
__export__.res_country_state_ciudad_01COA,01,COA,Ciudad Acuña
__export__.res_country_state_ciudad_01COL,01,COL,Colima
__export__.res_country_state_ciudad_01CHH,01,CHH,Santa Rosalía de Camargo
__export__.res_country_state_ciudad_01CHP,01,CHP,Comitán de Domínguez
__export__.res_country_state_ciudad_01DIF,01,DIF,Ciudad de México
__export__.res_country_state_ciudad_01DUR,01,DUR,Victoria de Durango
__export__.res_country_state_ciudad_01GRO,01,GRO,Acapulco de Juárez
__export__.res_country_state_ciudad_01GUA,01,GUA,Acámbaro
__export__.res_country_state_ciudad_01HID,01,HID,Actopan
__export__.res_country_state_ciudad_01JAL,01,JAL,Ameca
__export__.res_country_state_ciudad_01MEX,01,MEX,Ciudad Adolfo López Mateos
__export__.res_country_state_ciudad_01MIC,01,MIC,Apatzingán de la Constitución
__export__.res_country_state_ciudad_01MOR,01,MOR,Cuautla (Cuautla de Morelos)
__export__.res_country_state_ciudad_01NAY,01,NAY,Santiago Ixcuintla
__export__.res_country_state_ciudad_01NLE,01,NLE,Ciudad Apodaca
__export__.res_country_state_ciudad_01OAX,01,OAX,Juchitán (Juchitán de Zaragoza)
__export__.res_country_state_ciudad_01PUE,01,PUE,Atlixco
__export__.res_country_state_ciudad_01QUE,01,QUE,Querétaro
__export__.res_country_state_ciudad_01ROO,01,ROO,Cancún
__export__.res_country_state_ciudad_01SIN,01,SIN,Los Mochis
__export__.res_country_state_ciudad_01SLP,01,SLP,Ciudad Valles
__export__.res_country_state_ciudad_01SON,01,SON,San Luis Río Colorado
__export__.res_country_state_ciudad_01TAB,01,TAB,Cárdenas
__export__.res_country_state_ciudad_01TAM,01,TAM,Altamira
__export__.res_country_state_ciudad_01TLA,01,TLA,Apizaco
__export__.res_country_state_ciudad_01VER,01,VER,Acayucan
__export__.res_country_state_ciudad_01YUC,01,YUC,Mérida
__export__.res_country_state_ciudad_01ZAC,01,ZAC,Fresnillo
__export__.res_country_state_ciudad_02AGU,02,AGU,Calvillo
__export__.res_country_state_ciudad_02BCN,02,BCN,Mexicali
__export__.res_country_state_ciudad_02BCS,02,BCS,La Paz
__export__.res_country_state_ciudad_02CAM,02,CAM,Ciudad del Carmen
__export__.res_country_state_ciudad_02COA,02,COA,Frontera
__export__.res_country_state_ciudad_02COL,02,COL,Manzanillo
__export__.res_country_state_ciudad_02CHH,02,CHH,Chihuahua
__export__.res_country_state_ciudad_02CHP,02,CHP,San Cristóbal de las Casas
__export__.res_country_state_ciudad_02DIF,02,DIF,Ciudad de México
__export__.res_country_state_ciudad_02DUR,02,DUR,Gómez Palacio
__export__.res_country_state_ciudad_02GRO,02,GRO,Chilpancingo de los Bravo
__export__.res_country_state_ciudad_02GUA,02,GUA,San miguel de Allende
__export__.res_country_state_ciudad_02HID,02,HID,Apan
__export__.res_country_state_ciudad_02JAL,02,JAL,Ciudad Guzmán
__export__.res_country_state_ciudad_02MEX,02,MEX,Chimalhuacán
__export__.res_country_state_ciudad_02MIC,02,MIC,Los Reyes de Salgado
__export__.res_country_state_ciudad_02MOR,02,MOR,Cuernavaca
__export__.res_country_state_ciudad_02NAY,02,NAY,Tepic
__export__.res_country_state_ciudad_02NLE,02,NLE,San Pedro Garza García
__export__.res_country_state_ciudad_02OAX,02,OAX,Oaxaca de Juárez
__export__.res_country_state_ciudad_02PUE,02,PUE,Izúcar de Matamoros
__export__.res_country_state_ciudad_02QUE,02,QUE,San Juan del Rio
__export__.res_country_state_ciudad_02ROO,02,ROO,Cozumel
__export__.res_country_state_ciudad_02SIN,02,SIN,Culiacán Rosales
__export__.res_country_state_ciudad_02SLP,02,SLP,Ébano
__export__.res_country_state_ciudad_02SON,02,SON,Agua Prieta
__export__.res_country_state_ciudad_02TAB,02,TAB,Villahermosa
__export__.res_country_state_ciudad_02TAM,02,TAM,Ciudad Camargo
__export__.res_country_state_ciudad_02TLA,02,TLA,Villa Vicente Guerrero
__export__.res_country_state_ciudad_02VER,02,VER,Naranjos
__export__.res_country_state_ciudad_02YUC,02,YUC,Tizimín
__export__.res_country_state_ciudad_02ZAC,02,ZAC,Jerez de García Salinas
__export__.res_country_state_ciudad_03AGU,03,AGU,San Francisco de los Romo
__export__.res_country_state_ciudad_03BCN,03,BCN,Tecate
__export__.res_country_state_ciudad_03BCS,03,BCS,Cabo San Lucas
__export__.res_country_state_ciudad_03CAM,03,CAM,Calkini
__export__.res_country_state_ciudad_03COA,03,COA,Matamoros
__export__.res_country_state_ciudad_03COL,03,COL,Tecoman
__export__.res_country_state_ciudad_03CHH,03,CHH,Cuauhtémoc
__export__.res_country_state_ciudad_03CHP,03,CHP,Tapachula de Córdova y Ordóñez
__export__.res_country_state_ciudad_03DIF,03,DIF,Ciudad de México
__export__.res_country_state_ciudad_03DUR,03,DUR,Ciudad Lerdo
