id,clave_sat,state_id/id,name
__export__.res_country_state_municipio_001AGU,001,AGU,Aguascalientes
__export__.res_country_state_municipio_001BCN,001,BCN,Ensenada
__export__.res_country_state_municipio_001BCS,001,BCS,Comondú
__export__.res_country_state_municipio_001CAM,001,CAM,Calkiní
__export__.res_country_state_municipio_001COA,001,COA,Abasolo
__export__.res_country_state_municipio_001COL,001,COL,Armería
__export__.res_country_state_municipio_001CHH,001,CHH,Ahumada
__export__.res_country_state_municipio_001CHP,001,CHP,Acacoyagua
__export__.res_country_state_municipio_001DUR,001,DUR,Canatlán
__export__.res_country_state_municipio_001GRO,001,GRO,Acapulco de Juárez
__export__.res_country_state_municipio_001GUA,001,GUA,Abasolo
__export__.res_country_state_municipio_001HID,001,HID,Acatlán
__export__.res_country_state_municipio_001JAL,001,JAL,Acatic
__export__.res_country_state_municipio_001MEX,001,MEX,Acambay de Ruíz Castañeda
__export__.res_country_state_municipio_001MIC,001,MIC,Acuitzio
__export__.res_country_state_municipio_001MOR,001,MOR,Amacuzac
__export__.res_country_state_municipio_001NAY,001,NAY,Acaponeta
__export__.res_country_state_municipio_001NLE,001,NLE,Abasolo
__export__.res_country_state_municipio_001OAX,001,OAX,Abejones
__export__.res_country_state_municipio_001PUE,001,PUE,Acajete
__export__.res_country_state_municipio_001QUE,001,QUE,Amealco de Bonfil
__export__.res_country_state_municipio_001ROO,001,ROO,Cozumel
__export__.res_country_state_municipio_001SIN,001,SIN,Ahome
__export__.res_country_state_municipio_001SLP,001,SLP,Ahualulco
__export__.res_country_state_municipio_001SON,001,SON,Aconchi
__export__.res_country_state_municipio_001TAB,001,TAB,Balancán
__export__.res_country_state_municipio_001TAM,001,TAM,Abasolo
__export__.res_country_state_municipio_001TLA,001,TLA,Amaxac de Guerrero
__export__.res_country_state_municipio_001VER,001,VER,Acajete
__export__.res_country_state_municipio_001YUC,001,YUC,Abalá
__export__.res_country_state_municipio_001ZAC,001,ZAC,Apozol
__export__.res_country_state_municipio_002AGU,002,AGU,Asientos
__export__.res_country_state_municipio_002BCN,002,BCN,Mexicali
