"id","codigo_agrupador","naturaleza","code","name","chart_template_id","parent_id","user_type_id","type","reconcile"
"account_0",,,0,"CATALOGO DE CUENTAS CONTABLES","ref=*mx_coa_sat*",,"ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_100","ref=*contabilidad_electronica.codigo_agrupador_100*","ref=*contabilidad_electronica.naturaleza_deudora*",100,"ACTIVO","ref=*mx_coa_sat*","ref=*account_0*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_100_01","ref=*contabilidad_electronica.codigo_agrupador_100_01*","ref=*contabilidad_electronica.naturaleza_deudora*",100.01,"ACTIVO A CORTO PLAZO","ref=*mx_coa_sat*","ref=*account_100*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_101","ref=*contabilidad_electronica.codigo_agrupador_101*","ref=*contabilidad_electronica.naturaleza_deudora*",101,"CAJA","ref=*mx_coa_sat*","ref=*account_100_01*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_101_01","ref=*contabilidad_electronica.codigo_agrupador_101_01*","ref=*contabilidad_electronica.naturaleza_deudora*",101.01,"CAJA Y EFECTIVO","ref=*mx_coa_sat*","ref=*account_101*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_101_01_01","ref=*contabilidad_electronica.codigo_agrupador_101_01*","ref=*contabilidad_electronica.naturaleza_deudora*","101.01.01","Fondo fijo","ref=*mx_coa_sat*","ref=*account_101_01*","ref=*account.data_account_type_liquidity*","other","eval=*False*"
"account_102","ref=*contabilidad_electronica.codigo_agrupador_102*","ref=*contabilidad_electronica.naturaleza_deudora*",102,"BANCOS","ref=*mx_coa_sat*","ref=*account_100_01*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_102_01","ref=*contabilidad_electronica.codigo_agrupador_102_01*","ref=*contabilidad_electronica.naturaleza_deudora*",102.01,"BANCOS NACIONALES","ref=*mx_coa_sat*","ref=*account_102*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_102_01_01","ref=*contabilidad_electronica.codigo_agrupador_102_01*","ref=*contabilidad_electronica.naturaleza_deudora*","102.01.01","Bancomer cta XXXXX","ref=*mx_coa_sat*","ref=*account_102_01*","ref=*account.data_account_type_liquidity*","other","eval=*False*"
"account_102_01_02","ref=*contabilidad_electronica.codigo_agrupador_102_01*","ref=*contabilidad_electronica.naturaleza_deudora*","102.01.02","Bancomer cta XXXXX","ref=*mx_coa_sat*","ref=*account_102_01*","ref=*account.data_account_type_liquidity*","other","eval=*False*"
"account_102_01_03","ref=*contabilidad_electronica.codigo_agrupador_102_01*","ref=*contabilidad_electronica.naturaleza_deudora*","102.01.03","Santander cta XXXXX","ref=*mx_coa_sat*","ref=*account_102_01*","ref=*account.data_account_type_liquidity*","other","eval=*False*"
"account_102_02","ref=*contabilidad_electronica.codigo_agrupador_102_02*","ref=*contabilidad_electronica.naturaleza_deudora*",102.02,"BANCOS EXTRANJEROS","ref=*mx_coa_sat*","ref=*account_102*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_102_02_01","ref=*contabilidad_electronica.codigo_agrupador_102_02*","ref=*contabilidad_electronica.naturaleza_deudora*","102.02.01","Bancomer cta XXXXX","ref=*mx_coa_sat*","ref=*account_102_02*","ref=*account.data_account_type_liquidity*","other","eval=*False*"
"account_102_02_02","ref=*contabilidad_electronica.codigo_agrupador_102_02*","ref=*contabilidad_electronica.naturaleza_deudora*","102.02.02","Bancomer cta XXXXX","ref=*mx_coa_sat*","ref=*account_102_02*","ref=*account.data_account_type_liquidity*","other","eval=*False*"
"account_102_02_03","ref=*contabilidad_electronica.codigo_agrupador_102_02*","ref=*contabilidad_electronica.naturaleza_deudora*","102.02.03","Santander cta XXXXX","ref=*mx_coa_sat*","ref=*account_102_02*","ref=*account.data_account_type_liquidity*","other","eval=*False*"
"account_103","ref=*contabilidad_electronica.codigo_agrupador_103*","ref=*contabilidad_electronica.naturaleza_deudora*",103,"INVERSIONES","ref=*mx_coa_sat*","ref=*account_100_01*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_103_01","ref=*contabilidad_electronica.codigo_agrupador_103_01*","ref=*contabilidad_electronica.naturaleza_deudora*",103.01,"INVERSIONES TEMPORALES","ref=*mx_coa_sat*","ref=*account_103*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_103_01_01","ref=*contabilidad_electronica.codigo_agrupador_103_01*","ref=*contabilidad_electronica.naturaleza_deudora*","103.01.01","Bancomer cta XXXXX","ref=*mx_coa_sat*","ref=*account_103_01*","ref=*account.data_account_type_liquidity*","other","eval=*False*"
"account_103_01_02","ref=*contabilidad_electronica.codigo_agrupador_103_01*","ref=*contabilidad_electronica.naturaleza_deudora*","103.01.02","Bancomer cta XXXXX","ref=*mx_coa_sat*","ref=*account_103_01*","ref=*account.data_account_type_liquidity*","other","eval=*False*"
"account_103_01_03","ref=*contabilidad_electronica.codigo_agrupador_103_01*","ref=*contabilidad_electronica.naturaleza_deudora*","103.01.03","Santander cta XXXXX","ref=*mx_coa_sat*","ref=*account_103_01*","ref=*account.data_account_type_liquidity*","other","eval=*False*"
"account_103_02","ref=*contabilidad_electronica.codigo_agrupador_103_02*","ref=*contabilidad_electronica.naturaleza_deudora*",103.02,"INVERSIONES EN FIDEICOMISOS","ref=*mx_coa_sat*","ref=*account_103*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_103_02_01","ref=*contabilidad_electronica.codigo_agrupador_103_02*","ref=*contabilidad_electronica.naturaleza_deudora*","103.02.01","Santander-Invex XXXXX","ref=*mx_coa_sat*","ref=*account_103_02*","ref=*account.data_account_type_current_assets*","other","eval=*False*"
"account_103_03","ref=*contabilidad_electronica.codigo_agrupador_103_03*","ref=*contabilidad_electronica.naturaleza_deudora*",103.03,"OTRAS INVERSIONES","ref=*mx_coa_sat*","ref=*account_103*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_104","ref=*contabilidad_electronica.codigo_agrupador_104*","ref=*contabilidad_electronica.naturaleza_deudora*",104,"OTROS INSTRUMENTOS FINANCIEROS","ref=*mx_coa_sat*","ref=*account_100_01*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
"account_104_01","ref=*contabilidad_electronica.codigo_agrupador_104_01*","ref=*contabilidad_electronica.naturaleza_deudora*",104.01,"OTROS INSTRUMENTOS FINANCIEROS","ref=*mx_coa_sat*","ref=*account_104*","ref=*bias_coa_hierarchy.data_account_type_view*","view","eval=*False*"
